,group,group_id,name,homepage,description,category,projectrank,show,monthly_downloads,release_count,created_at,updated_at,projectrank_placing,trending,labels,github_id,conda_id,pypi_id,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url
81,True,ren,REN - REN,https://github.com/renproject,A decentralized dark pool for trustless cross-chain atomic trading of cryptocurrencies.,exchange-tokens,4,False,2400.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
82,True,nu,NU - NuCypher,https://github.com/nucypher,Privacy layer for distributed systems and decentralized applications. NuCypher KMS helps dApp developers secure their..,privacy-coins,4,False,6270.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
83,True,keep,KEEP - Keep Network,https://github.com/keep-network,A privacy layer for Ethereum. A keep is an off-chain container for private data. Keeps help contracts harness the full..,privacy-coins,4,False,5924.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
84,True,cspr,CSPR - Casper Network,https://github.com/casper-ecosystem,First live proof-of-stake blockchain built off the Casper CBC specification. Casper is designed to accelerate..,smart-contract-platform,4,False,2555.3333333333335,,,,2.0,,,,,,,,,,,,,,,,,,,,,
85,True,ewt,EWT - Energy Web Token,https://github.com/energywebfoundation,"Native token of the Energy Web Chain, a public, Proof-of-Authority Ethereum Virtual Machine blockchain specifically..",others,4,False,2514.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
86,True,dusk,DUSK - DUSK Network,https://github.com/dusk-network,Open-source and privacy-oriented blockchain based on years of academic research. You can use Dusk Network to create..,privacy-coins,4,False,5609.333333333333,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
87,True,joe,JOE - JOE,https://github.com/traderjoe-xyz,Trader Joe is your one-stop decentralized trading platform on the Avalanche network. We combine DEX services with DeFi..,exchange-tokens,4,False,1552.0,,,,2.0,,['avax'],,,,,,,,,,,,,,,,,,,
88,True,cfx,CFX - Conflux,https://github.com/Conflux-Chain,"Open protocol for a new world of DApps, finance, and Web 3.0. As a fast and secure public blockchain, Conflux Network..",smart-contract-platform,4,False,6822.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
89,True,rmrk,RMRK - RMRK,https://github.com/rmrk-team,"Most advanced nft system in the world, adding eternal liquidity and multi chain forward compatibility to all NFT..",metaverse,4,False,1528.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
90,True,rlc,RLC - iExec RLC,https://github.com/iExecBlockchainComputing,The First Decentralized Marketplace for Cloud Resources.,web3,4,False,6928.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
91,True,erg,ERG - Ergo,https://github.com/ergoplatform,ERGOs platform is based on a variety of ideas that complement each other and aim to provide solutions for various..,privacy-coins,4,False,7218.666666666667,,,,1.0,,,,,,,,,,,,,,,,,,,,,
92,True,agix,AGIX - SingularityNET,https://github.com/singnet,"SingularityNET lets anyone create, share, and monetize AI services at scale. The worlds decentralized AI network has..",web3,4,False,1284.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
93,True,bzz,BZZ - Swarm,https://github.com/ethersphere,System of peer-to-peer networked nodes that create a decentralised storage and communication service. The system is..,others,4,False,7788.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
94,True,steem,STEEM - Steem,https://github.com/steemit,"A new way for publishers to monetize their online content and community, based on battle-tested blockchain technology...",cryptocurrency,4,False,2234.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
95,True,astro,ASTRO - Astroport,https://github.com/astroport-fi,Next generation AMM on Terra chain. It offers multiple pool types ranging from Uniswap like xyk pools to stableswap..,others,4,False,5866.666666666667,,,,2.0,,['luna'],,,,,,,,,,,,,,,,,,,
96,True,dpi,DPI - DeFi Pulse Index,https://github.com/SetProtocol,Capitalization-weighted index that tracks the performance of decentralized financial assets across the market...,defi,4,False,3100.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
97,True,rep,REP - Augur,https://github.com/AugurProject,Decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for..,defi,4,False,5612.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
98,True,bts,BTS - BitShares,https://github.com/bitshares,"Public, blockchain-based, real-time financial platform. It provides a decentralised asset exchange. BTS is a..",exchange-tokens,4,False,2484.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
99,True,mft,MFT - Hifi Finance,https://github.com/MainframeHQ,"Platform for decentralized applications. Resistant to censorship, surveillance, and disruption, the Mainframe network..",smart-contract-platform,4,False,1454.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
100,True,dock,DOCK - Dock,https://github.com/docknetwork,Special purpose decentralized data exchange protocol. This protocol is intended to incentivize the exchange of work..,web3,4,False,2400.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
101,True,psp,PSP - ParaSwap,https://github.com/paraswap,Governance token for ParaSwap with the aim toprovide a decentralized exchange aggregator that is decentralized and..,exchange-tokens,4,False,5002.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
102,True,beam,BEAM - BEAM,https://github.com/BeamMW,Scalable confidential cryptocurrency.,privacy-coins,4,False,2332.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
103,True,ae,AE - Aeternity,https://github.com/aeternity,"Ternity team is building a next-level, brand new blockchain technology in the making, with many features that tackle..",web3,4,False,6262.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
104,True,inst,INST - Instadapp,https://github.com/instadapp,"On Instadapp, users and developers manage and build their DeFi portfolio - the worlds most advanced platform to start..",defi,4,False,6556.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
105,True,png,PNG - Pangolin,https://github.com/pangolindex,"Community-driven decentralized exchange for Avalanche and Ethereum assets with fast settlement, low transaction fees,..",exchange-tokens,4,False,1734.0,,,,2.0,,['avax'],,,,,,,,,,,,,,,,,,,
106,True,ast,AST - AirSwap,https://github.com/airswap,"Decentralized, peer-to-peer token trading network built on the Ethereum blockchain. Buying and selling tokens on..",exchange-tokens,4,False,1590.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
107,True,hopr,HOPR - HOPR,https://github.com/hoprnet,HOPR provides essential and compliant network-level metadata privacy for everyone. HOPR is an open incentivized mixnet..,privacy-coins,4,False,6876.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
108,True,ban,BAN - Banano,https://github.com/bananocoin,"Dont let your memes be dreams! Banano is a fourth-generation cryptocurrency that offers feeless, instant and green..",meme-tokens,4,False,1932.0,,,,1.0,,['matic'],,,,,,,,,,,,,,,,,,,
109,True,wit,WIT - Witnet,https://github.com/witnet,WITchain Provide Digital Token Development and Value Management Service for Individual and Enterprise WITchain have..,others,4,False,3764.6666666666665,,,,2.0,,,,,,,,,,,,,,,,,,,,,
110,True,grin,GRIN - Grin,https://github.com/grinplusplus,Grin empowers anyone to transact or save modern money without the fear of external control or oppression. Grin is..,privacy-coins,4,False,1153.3333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
111,True,san,SAN - Santiment Network Token,https://github.com/santiment,"A Better Way to Trade Crypto-Markets Market Datafeeds, Newswires, and Crowd Sentiment Insights for the Blockchain World.",web3,4,False,7660.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
112,True,juld,JULD - JulSwap,https://github.com/JustLiquidity,Community Token from JulSwap which allows you to participate in special events on JulSwap. JulD is built to introduce..,exchange-tokens,4,False,4364.0,,,,2.0,,['bsc'],,,,,,,,,,,,,,,,,,,
113,True,efx,EFX - Effect Network,https://github.com/effectai,Effect Network is ought to be a decentralized platform for Artificial Intelligence.,others,4,False,2212.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
114,True,poa,POA - POA Network,https://github.com/poanetwork,An open network based on Ethereum protocol with Proof of Authority consensus by independent actors. Public notaries..,smart-contract-platform,4,False,4033.9999999999995,,,,2.0,,,,,,,,,,,,,,,,,,,,,
115,True,yield,YIELD - Yield Protocol,https://github.com/yieldprotocol,No description.,defi,4,False,3870.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
